sensor,avg_rmse,avg_r2,avg_mape,backtest_runs
sensor_0_avg,1.4713757772074392,-3.3497476761644442,5.565390538954205,3
sensor_1_avg,22.91763300172106,-0.9433677665676404,10.882923088291781,3
sensor_2_avg,14.730576529071953,-0.3381112962325905,286.6156315919539,3
sensor_5_avg,5.626106353918483,-1.5096478111736884,554.5774762603045,3
sensor_5_max,10.277209354629171,-0.48655781879491883,1014.4208911635438,3
sensor_5_min,4.720156482027105,-19.110153188550147,39.3460879942626,3
sensor_5_std,2.3884434854252805,-0.9161226116461377,371.8920953251218,3
sensor_6_avg,2.556620628752734,-3.5723565137157998,5.829921517909305,3
sensor_7_avg,3.466190308903047,-7.8700754356625,7.799842921856443,3
sensor_8_avg,9.561176394625853,-0.8886884906838249,8.571494517047041,3
sensor_9_avg,2.812003210067139,-4.673628183286962,5.740840206387936,3
sensor_10_avg,1.0290836053760153,-1.368163745376625,2.17426115077682,3
sensor_11_avg,3.055801274655334,-0.26368660253152415,4.061216132131971,3
sensor_12_avg,2.935206753969505,-2.4938652646736506,4.860261877291289,3
sensor_13_avg,7.185148176839905,-2.179766693281565,12.578719609779638,3
sensor_14_avg,5.503213450029249,-0.5258632153832835,7.7038238996025585,3
sensor_15_avg,14.692831780212225,-0.7481381877812338,14.053704283940363,3
sensor_16_avg,13.842429107705904,-0.9364176525329748,14.029174036550032,3
sensor_17_avg,13.569184980977147,-0.7840136424154225,13.423032862122241,3
sensor_18_avg,272.8210334727108,-3.9771369777976333,31.131382199786756,3
sensor_18_max,243.98615184596505,-1.186424200828031,27.604599913564588,3
sensor_18_min,342.6642841026596,-1.2157019597569272,51.35197282278036,3
sensor_18_std,93.47621440450143,-1.1900600385087017,428.1009737344671,3
sensor_19_avg,3.169148635531084,-0.514009406786103,6.970634052185616,3
sensor_20_avg,3.9084003819603814,-2.972901583794435,8.004831075305207,3
sensor_21_avg,1.6330124426704338,-0.6634076386637685,3.2427224761247104,3
sensor_22_avg,0.09020965297903925,-6.119150254555514,8.931347066562262,3
sensor_23_avg,375.6781576502547,-0.7569587079395544,168.17839555728332,3
sensor_24_avg,382.00171215747224,-0.7786989455888046,181.39473537532888,3
sensor_25_avg,377.4313644703829,-0.7700203393927203,156.08043948628242,3
sensor_26_avg,0.00029371015973115043,0.0,0.0005874203106421306,3
sensor_31_avg,0.01940408289032763,-0.853221771602275,101.81692859755958,3
sensor_31_max,105.18121654487094,-1.2521217104740445,250.5825409075497,3
sensor_31_min,73.29861455892727,-11.036970802335413,45.14247671528302,3
sensor_31_std,17.446038911228833,-0.19609286594216127,109.18647394865407,3
sensor_32_avg,1.5609318791459321,-0.285174586294161,0.33070675505483454,3
sensor_33_avg,1.5080817237557802,-0.05941516434214015,0.31676412561997297,3
sensor_34_avg,2.180625560622851,-1.3713692380665918,0.4584186586264911,3
sensor_35_avg,2.1207172135265955,-0.8319477536944825,3.9977555495820276,3
sensor_36_avg,2.288136841270766,-0.9953886544268277,4.27693079629324,3
sensor_37_avg,2.1613428310736698,-1.2523262330448688,4.193539715667869,3
sensor_38_avg,7.665923934224527,-3.0369622465845167,9.940428903443715,3
sensor_39_avg,8.430328138140405,-3.1050886468076477,9.613155766182368,3
sensor_40_avg,8.844236185471482,-3.099065127748679,10.388836271799393,3
sensor_41_avg,3.1570655597594777,-4.23438534573381,8.767244360785215,3
sensor_42_avg,21.074851734619003,-2.6644127884167323,8.658050037854645,3
sensor_43_avg,2.9181265016065896,-4.993944474813884,8.352633293735114,3
sensor_44,674.1890165890719,-0.11149801594649873,,3
sensor_45,76932.5903211678,-0.7946048673032516,159.55053266271932,3
sensor_46,0.0,1.0,,3
sensor_47,476.55008906667416,-0.0347872363449202,,3
sensor_48,7102.819609802563,-1.199935584040098,62.789930233946,3
sensor_49,0.0,1.0,,3
sensor_50,77266.95111433978,-0.7984597743868361,2149.431968120738,3
sensor_51,6633.025738132569,-0.8591629297849405,100.89592421689838,3
sensor_52_avg,2.4955479031637537,-4.921722433986922,34.535861843179944,3
sensor_52_max,2.1660090975345647,-1.5388178981605831,27.64771864009904,3
sensor_52_min,3.174310380059204,-1.236495636180983,28.92923634833902,3
sensor_52_std,0.8849064229080265,-1.6184267403645871,340.70353497664917,3
sensor_53_avg,3.8080835544111387,-7.13836882465277,13.33168985730014,3
